name,latitude,longitude,datetime,windgust,windspeed,winddir,stations
calgary,51.045,-114.063,2022-01-01T00:00:00,44.3,8.7,203,"71877099999,CPST,71495099999,71526099999,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-01T01:00:00,37.1,9.4,293,"71009099999,CPST,71495099999,CYBW,71526099999,71235099999"
calgary,51.045,-114.063,2022-01-01T02:00:00,,12.2,230,"71877099999,CPST,71495099999,71526099999,71393099999,71235099999"
calgary,51.045,-114.063,2022-01-01T03:00:00,31.3,7.6,208,"71877099999,CPST,71495099999,71526099999,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-01T04:00:00,33.5,6,215,"71877099999,CPST,71495099999,71526099999,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-01T05:00:00,,6.6,227,"71877099999,CPST,71495099999,71526099999,71393099999,71235099999"
calgary,51.045,-114.063,2022-01-01T06:00:00,40.7,10.4,216,"71877099999,CPST,71495099999,71526099999,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-01T07:00:00,42.5,8.4,212,"71877099999,CPST,71495099999,71526099999,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-01T08:00:00,,6.7,218,"71877099999,CPST,71495099999,71526099999,71393099999,71235099999"
calgary,51.045,-114.063,2022-01-01T09:00:00,40.7,7.7,183,"71877099999,CPST,71495099999,71526099999,71235099999,E7122,CYYC"
calgary,51.045,-114.063,2022-01-01T10:00:00,42.5,9,171,"71877099999,CPST,71495099999,71526099999,C8540,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-01T11:00:00,,10.5,203,"71877099999,CPST,71495099999,71526099999,C8540,71393099999,71235099999"
calgary,51.045,-114.063,2022-01-01T12:00:00,44.3,11.5,220,"71877099999,CPST,71495099999,71526099999,C8540,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-01T13:00:00,51.8,11.5,191,"71877099999,CPST,71495099999,71526099999,C8540,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-01T14:00:00,,10.4,194,"71877099999,CPST,71495099999,71526099999,C8540,71393099999,71235099999"
calgary,51.045,-114.063,2022-01-01T15:00:00,37.5,11.6,188,"71877099999,CPST,71495099999,71526099999,C8540,71235099999,CYYC"
